,ID,Group,Color,Arrest_Date,Release_Date,Death_Date,1985_1989,1990_1994,Dataset Number,Dataset,Label,Country,City
11,1037,,,,,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
12,1035,,,,,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
13,1033,,,,,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
14,1026,,,,,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
15,59,,,,,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
16,64,,,9/?/2002,,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
17,650,,,,,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
18,1011,,,,,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
19,65,,,,,9/11/01,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
20,1015,,,,,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
21,1034,,,7/?/2002,7/?/2002,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
22,62,,,,,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
23,66,,,,,9/11/01,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
24,1016,,,,,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
25,1017,,,,,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
26,1038,,,,,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
27,1039,,,,,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
28,1040,,,,,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
29,1031,,,2003,2005,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
30,1025,,,,,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
31,1041,,,,,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
32,1005,,,,,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
33,1042,,,,,,2,2,5,"The Hamburg 9/11 Cell 2001, Germany",HAM 9/11,Germany,Hamburg
0,3100,,Blue,11/13/01,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
1,3101,,Blue,,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
2,3104,,Blue,11/6/03,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
3,3106,,Blue,,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
4,318,,Blue,11/?/2001,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
5,3132,,Blue,,,4/3/04,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
6,3133,,Blue,12/7/05,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
7,3134,,Blue,3/30/04,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
8,3135,,Blue,3/13/04,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
9,3136,,Blue,5/?/2003,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
10,3137,,Blue,5/?/2003,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
11,3138,,Blue,,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
12,3139,,Blue,4/2/04,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
13,3140,,Blue,6/8/04,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
14,3141,,Blue,4/1/97,6/29/02,4/3/04,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
15,3142,,Blue,11/3/04,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
16,3143,,Blue,,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
17,3144,,Blue,?/?/2000,?/?/2003,4/3/04,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
18,3145,,Blue,,,4/3/04,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
19,3146,,Blue,4/7/04,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
20,3147,,Blue,,,4/3/04,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
21,3148,,Blue,,,4/3/04,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
22,3149,,Blue,,,4/3/04,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
23,3150,,Blue,3/18/04,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
24,3151,,Blue,12/2/04,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
25,3152,,Blue,3/24/04,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
26,3153,,Blue,,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
27,3154,,Blue,,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
28,3155,,Blue,1/12/06,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
29,3156,,Blue,3/?/2005,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
30,3157,,Blue,3/?/2005,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
31,3158,,Blue,2/1/05,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
32,3159,,Blue,2/1/05,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
33,3160,,Blue,2/1/05,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
34,3161,,Blue,5/?/2005,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
35,3162,,Blue,8/16/05,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
36,3163,,Blue,3/30/04,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
37,3164,,Blue,4/2/04,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
38,3165,,Blue,5/21/04,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
39,3166,,Blue,5/6/04,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
40,3167,,Blue,?/?/2004,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
41,3168,,Blue,6/10/04,12/15/04,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
42,3169,,Blue,6/?/2004,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
43,3170,,Blue,6/11/04,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
44,3171,,Blue,6/?/2004,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
45,3172,,Blue,?/?/2004,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
46,3173,,Blue,7/1/04,2/15/05,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
47,3174,,Blue,?/?/2004,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
48,3176,,Blue,?/?/2004,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
49,3177,,Blue,?/?/2004,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
50,3178,,Blue,?/?/2004,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
51,3179,,Blue,,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
52,3180,,Blue,4/6/04,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
53,3181,,Blue,6/14/04,,,2,2,6,"Madrid Train Bombings 2004, Spain",MAD,Spain,
0,151,,Red,10/?/2002,6/14/06,,2,2,7,"Philippines Ambassador Residence Bombing 2000, Jakarta",PAR,Indonesia,Jakarta
1,153,,Red,?/?/2003,,,2,2,7,"Philippines Ambassador Residence Bombing 2000, Jakarta",PAR,Indonesia,Jakarta
2,155,,Red,12/?/2002,,11/8/08,2,2,7,"Philippines Ambassador Residence Bombing 2000, Jakarta",PAR,Indonesia,Jakarta
3,159,,Red,1/?/2002,,?/?/2003,2,2,7,"Philippines Ambassador Residence Bombing 2000, Jakarta",PAR,Indonesia,Jakarta
4,162,,Red,11/6/02,,11/8/08,2,2,7,"Philippines Ambassador Residence Bombing 2000, Jakarta",PAR,Indonesia,Jakarta
5,163,,Red,1/13/03,,,2,2,7,"Philippines Ambassador Residence Bombing 2000, Jakarta",PAR,Indonesia,Jakarta
6,183,,Red,,,,2,2,7,"Philippines Ambassador Residence Bombing 2000, Jakarta",PAR,Indonesia,Jakarta
7,189,,Red,,,,2,2,7,"Philippines Ambassador Residence Bombing 2000, Jakarta",PAR,Indonesia,Jakarta
8,193,,Red,8/?/2001,,,2,2,7,"Philippines Ambassador Residence Bombing 2000, Jakarta",PAR,Indonesia,Jakarta
9,368,,Red,12/?/2001,5/?/2006,,2,2,7,"Philippines Ambassador Residence Bombing 2000, Jakarta",PAR,Indonesia,Jakarta
10,587,,Red,,,,2,2,7,"Philippines Ambassador Residence Bombing 2000, Jakarta",PAR,Indonesia,Jakarta
11,650,,Red,,,,2,2,7,"Philippines Ambassador Residence Bombing 2000, Jakarta",PAR,Indonesia,Jakarta
12,1502,,Red,1/21/03,,,2,2,7,"Philippines Ambassador Residence Bombing 2000, Jakarta",PAR,Indonesia,Jakarta
13,1549,,Red,4/22/03,,,2,2,7,"Philippines Ambassador Residence Bombing 2000, Jakarta",PAR,Indonesia,Jakarta
14,1564,,Red,1/13/03,,,2,2,7,"Philippines Ambassador Residence Bombing 2000, Jakarta",PAR,Indonesia,Jakarta
15,1567,,Red,10/?/2002,11/?/2004,,2,2,7,"Philippines Ambassador Residence Bombing 2000, Jakarta",PAR,Indonesia,Jakarta
0,151,,red,10/?/2002,6/14/06,,2,2,8,"Southeast Asian Aggregate Attack Series 2005, Indonesia",SEA,Indonesia,
1,153,,red,?/?/2003,,,2,2,8,"Southeast Asian Aggregate Attack Series 2005, Indonesia",SEA,Indonesia,
2,155,,red,12/?/2002,,11/8/08,2,2,8,"Southeast Asian Aggregate Attack Series 2005, Indonesia",SEA,Indonesia,
3,159,,red,1/?/2002,,?/?/2003,2,2,8,"Southeast Asian Aggregate Attack Series 2005, Indonesia",SEA,Indonesia,
4,160,,red,11/21/02,,11/8/08,2,2,8,"Southeast Asian Aggregate Attack Series 2005, Indonesia",SEA,Indonesia,
5,162,,red,11/6/02,,11/8/08,2,2,8,"Southeast Asian Aggregate Attack Series 2005, Indonesia",SEA,Indonesia,
6,163,,red,1/13/03,,,2,2,8,"Southeast Asian Aggregate Attack Series 2005, Indonesia",SEA,Indonesia,
7,164,,red,12/9/01,,,2,2,8,"Southeast Asian Aggregate Attack Series 2005, Indonesia",SEA,Indonesia,
8,175,,red,,,,2,2,8,"Southeast Asian Aggregate Attack Series 2005, Indonesia",SEA,Indonesia,
9,176,,red,4/22/03,,,2,2,8,"Southeast Asian Aggregate Attack Series 2005, Indonesia",SEA,Indonesia,
10,177,,red,,,,2,2,8,"Southeast Asian Aggregate Attack Series 2005, Indonesia",SEA,Indonesia,
11,180,,red,9/27/02,3/?/2005,,2,2,8,"Southeast Asian Aggregate Attack Series 2005, Indonesia",SEA,Indonesia,
12,183,,red,,,,2,2,8,"Southeast Asian Aggregate Attack Series 2005, Indonesia",SEA,Indonesia,
13,189,,red,,,,2,2,8,"Southeast Asian Aggregate Attack Series 2005, Indonesia",SEA,Indonesia,
